Id,player_rating,Usage
M00001_P00055,5.6,Private
M00001_P00057,0.0,Private
M00001_P00059,5.7,Private
M00001_P00064,0.0,Private
M00001_P00066,8.3,Public
M00001_P00071,6.6,Public
M00001_P00077,0.0,Public
M00001_P01223,0.0,Private
M00001_P01234,0.0,Private
M00001_P01236,0.0,Private
M00001_P01241,7.4,Public
M00001_P01242,0.0,Private
M00002_P00136,7.0,Private
M00002_P00141,6.7,Public
M00002_P00148,0.0,Public
M00002_P00156,6.3,Public
M00002_P00625,0.0,Private
M00002_P00630,6.1,Private
M00002_P00632,5.4,Private
M00002_P00635,6.9,Public
M00002_P00644,0.0,Private
M00002_P00645,0.0,Public
M00002_P00650,6.0,Public
M00003_P01020,7.3,Private
M00003_P01034,4.9,Private
M00003_P01037,6.4,Private
M00003_P01038,6.0,Public
M00003_P01041,5.9,Private
M00003_P01042,0.0,Private
M00003_P01048,6.1,Public
M00003_P01049,0.0,Private
M00003_P01051,0.0,Public
M00003_P01055,0.0,Public
M00003_P01063,6.2,Private
M00003_P01064,5.2,Private
M00004_P00108,0.0,Private
M00004_P00110,0.0,Private
M00004_P00114,6.5,Public
M00004_P00124,7.4,Private
M00004_P00129,5.1,Private
M00004_P01177,6.3,Public
M00004_P01182,5.0,Private
M00004_P01184,0.0,Public
M00004_P01193,5.8,Private
M00004_P01196,6.8,Public
M00005_P00136,7.0,Private
M00005_P00141,7.4,Private
M00005_P00148,0.0,Private
M00005_P00156,0.0,Private
M00005_P00478,6.1,Public
M00005_P00479,8.1,Private
M00005_P00486,0.0,Private
M00005_P00491,0.0,Private
M00006_P00443,0.0,Private
M00006_P00448,5.2,Private
M00006_P00452,0.0,Private
M00006_P00462,5.9,Public
M00006_P00463,5.5,Public
M00006_P00465,6.6,Public
M00006_P00468,6.1,Private
M00006_P00625,0.0,Private
M00006_P00630,0.0,Public
M00006_P00632,5.4,Private
M00006_P00635,6.6,Private
M00006_P00644,7.2,Public
M00006_P00645,0.0,Private
M00006_P00650,7.3,Public
M00007_P00266,6.7,Private
M00007_P00271,7.3,Public
M00007_P00278,5.2,Private
M00007_P00286,0.0,Private
M00007_P00625,0.0,Public
M00007_P00630,0.0,Public
M00007_P00632,6.3,Private
M00007_P00635,7.2,Private
M00007_P00644,0.0,Private
M00007_P00645,6.7,Private
M00007_P00650,6.5,Public
M00008_P00443,7.3,Private
M00008_P00448,0.0,Public
M00008_P00452,0.0,Private
M00008_P00462,6.8,Private
M00008_P00463,0.0,Private
M00008_P00465,6.0,Public
M00008_P00468,7.4,Private
M00008_P01099,6.6,Private
M00008_P01107,5.0,Private
M00008_P01108,0.0,Private
M00008_P01109,0.0,Private
M00008_P01114,5.2,Private
M00008_P01118,6.4,Public
M00009_P00991,0.0,Private
M00009_P00993,5.9,Private
M00009_P00997,6.5,Private
M00009_P01000,0.0,Private
M00009_P01010,5.6,Private
M00009_P01070,0.0,Private
M00009_P01074,0.0,Private
M00009_P01082,0.0,Public
M00010_P00266,0.0,Public
M00010_P00271,5.3,Public
M00010_P00278,0.0,Private
M00010_P00286,0.0,Private
M00010_P00782,0.0,Private
M00010_P00786,0.0,Private
M00010_P00788,5.9,Public
M00010_P00797,6.6,Private
M00010_P00803,7.1,Private
M00011_P01041,0.0,Public
M00011_P01042,0.0,Public
M00011_P01048,0.0,Public
M00011_P01049,7.0,Public
M00011_P01051,5.9,Private
M00011_P01055,5.8,Private
M00011_P01063,7.3,Private
M00011_P01064,0.0,Private
M00011_P01177,0.0,Private
M00011_P01182,4.7,Public
M00011_P01184,6.0,Private
M00011_P01193,6.9,Private
M00011_P01196,0.0,Private
M00012_P00529,5.7,Private
M00012_P00535,6.0,Private
M00012_P00536,5.6,Public
M00012_P00542,0.0,Public
M00012_P00543,0.0,Private
M00012_P01120,0.0,Private
M00013_P00055,6.1,Private
M00013_P00057,6.2,Public
M00013_P00059,0.0,Private
M00013_P00064,0.0,Private
M00013_P00066,0.0,Public
M00013_P00071,5.8,Public
M00013_P00077,7.3,Private
M00013_P00368,5.8,Private
M00013_P00372,0.0,Private
M00013_P00378,0.0,Private
M00013_P00382,0.0,Private
M00013_P00383,6.3,Private
M00014_P00108,6.1,Private
M00014_P00110,0.0,Private
M00014_P00114,6.8,Public
M00014_P00124,0.0,Private
M00014_P00129,0.0,Private
M00014_P00443,0.0,Public
M00014_P00448,4.8,Public
M00014_P00452,0.0,Private
M00014_P00462,6.1,Private
M00014_P00463,0.0,Public
M00014_P00465,4.7,Public
M00014_P00468,5.4,Private
M00015_P00345,6.8,Public
M00015_P00347,6.5,Public
M00015_P00351,0.0,Private
M00015_P00353,5.8,Private
M00015_P00359,5.3,Public
M00015_P00362,5.9,Private
M00015_P01099,6.4,Private
M00015_P01107,6.3,Public
M00015_P01108,0.0,Private
M00015_P01109,6.3,Private
M00015_P01114,0.0,Private
M00015_P01118,0.0,Private
M00016_P00761,0.0,Private
M00016_P00772,5.6,Public
M00016_P01070,6.8,Private
M00016_P01074,6.5,Private
M00016_P01082,0.0,Public
M00017_P00209,0.0,Public
M00017_P00210,0.0,Private
M00017_P00211,5.7,Private
M00017_P00219,0.0,Public
M00017_P00221,0.0,Private
M00017_P00222,6.6,Public
M00017_P00232,5.7,Private
M00017_P00234,8.3,Public
M00017_P00423,5.5,Private
M00017_P00424,0.0,Private
M00017_P00425,0.0,Private
M00017_P00426,6.6,Public
M00017_P00431,0.0,Private
M00017_P00436,0.0,Public
M00017_P00440,6.6,Private
M00018_P00965,0.0,Private
M00018_P00966,0.0,Public
M00018_P00975,0.0,Private
M00018_P00978,6.8,Private
M00018_P00980,5.8,Private
M00018_P00986,6.8,Private
M00018_P01223,6.4,Public
M00018_P01234,5.4,Public
M00018_P01236,0.0,Private
M00018_P01241,6.9,Private
M00018_P01242,6.2,Private
M00019_P00368,5.5,Private
M00019_P00372,7.3,Private
M00019_P00378,5.3,Private
M00019_P00382,0.0,Private
M00019_P00383,5.9,Private
M00019_P00611,5.4,Private
M00019_P00618,7.4,Private
M00019_P00619,0.0,Public
M00019_P00622,7.0,Public
M00020_P00079,6.9,Private
